<phenotype>								
taxa	data	data	data	data	data	data	data	data
Taxa	PH	EH	SHL	ASI	LAZY	KRN	KWT	albino
1912-23	214.17	134.58	21.17	-0.5	0	11.5	3.39	0
1912-24	170.42	86.25	22.86	-0.5	0	13.25	3.83	0
1913-2	196.25	99.59	21.17	-0.75	0	13.5	5.12	0
1913-5	213.33	126.67	15.66	0	0	8.33	4.32	0
1913-7	203.75	115.42	22.44	-0.75	0	10.58	3.31	0
1913-8	210.55	114.44	16.51	-1	0	14	3.84	0
1913-9	205.84	114.58	12.28	-0.75	0	11.5	2.86	0
1913-12	203.75	115.83	16.51	-0.75	0	10.25	2.98	0
1913-15	208.34	119.58	19.47	-1.25	0	10.33	3.05	0
1913-16	218.75	125	13.97	-1	0	10.25	3.77	0
1913-19	195	118.75	11.01	-0.25	0	9.25	2.4	0
1913-20	200	120.83	25.82	0	0	11.75	3.71	0
1914-3	161.67	83.33	27.52	-1.5	0	10	3.2	0
1914-7	212.5	129.17	14.39	0	0	12.33	3.12	0
1914-8	210.83	114.17	12.28	0	0	11.58	3.52	0
1914-14	214.58	110.83	17.78	0	0	15.75	4.76	0
1914-18	192.5	112.09	16.93	0.25	8.33	8.17	3.24	0
1914-24	204	125.42	15.66	0.5	0	15.5	4.04	0
1915-4	217.92	132.5	12.7	-1.75	0	11.08	4.41	0
1915-5	190.42	99.17	16.93	-0.25	0	10.83	2.95	0
1915-6	174.58	94.58	13.97	-0.25	0	10.5	3.56	0
1915-11	202.5	109.58	22.44	-3	0	12.83	3.51	0
1915-12	224.17	141.67	31.33	-0.75	0	8.75	2.46	0
408-1	193.75	108.33	22.44	-0.75	0	11.21	3.91	0
1915-15	221.67	137.5	17.36	-1	0	12.04	4.59	0
1915-17	212.92	116.25	17.78	0	0	12.33	3.49	0
1915-19	206.11	118.89	12.28	0	0	10.22	3.2	0
1915-20	211.11	122.78	35.14	-0.67	0	12.22	5.05	0
1915-23	170	76.67	16.51	0	0	13.56	5.86	0
1915-24	240.83	131.66	16.93	0	0	12.67	3.66	0
1916-1	225	132.92	20.74	-0.75	18.18	10.92	3.77	0
1916-6	195.42	103.75	15.66	-0.5	0	12.33	3.71	0
1916-7	214.58	113.75	24.98	-0.25	0	13.42	3.93	0
1916-12	201.25	99.58	28.79	0	0	13.42	4.33	0
1916-13	183.33	101.25	11.85	-1.5	0	9.33	2.94	0
1916-15	182.92	102.08	23.28	-1.5	0	12.75	4.87	0
1916-16	198.75	111.25	11.85	-0.75	0	13.33	3.5	0
1916-18	232.92	146.67	10.16	0.25	0	11.92	3.01	0
1916-20	229.17	135.42	15.66	-1.25	0	9.83	3.76	0
1916-21	198.33	91.67	20.74	0	0	13.33	5.5	0
1917-2	229.58	109.58	21.59	-0.5	0	12.75	4.79	0
1917-6	166.67	83.75	21.59	-1.5	0	10.75	3.18	0
1917-7	206.25	104.17	15.66	-0.5	0	11.67	3.89	16.25
1917-11	210	130	16.09	1	NaN	12.5	3.58	NaN
408-13	163.33	89.44	10.16	-1	0	13.33	3.88	0
1917-19	191.67	109.16	17.36	-0.25	0	10.75	4.06	0
1917-21	190	114.58	16.09	-0.25	0	12.92	3.89	0
1918-4	182.5	84.58	18.2	-1	0	12.33	4.82	0
397-13	195.56	101.67	23.71	0	0	9.11	3.54	0
409-1	164.44	77.78	24.55	-1	0	16	3.28	0
409-8	188.34	92.92	15.24	-0.5	0	16.5	3.31	0
409-10	215.83	131.67	14.82	0	0	12.75	3.85	0
1918-19	201.25	115	16.93	-0.25	0	11.5	4.2	0
1918-20	192.92	102.08	12.28	-0.5	0	14.58	2.74	0
1919-3	219.58	131.25	20.74	-1	0	11.5	3.51	0
1919-4	233.75	147.92	13.55	-0.5	0	9.67	3.14	0
1919-5	170.83	86.25	19.05	-2	0	13.17	3.76	0
1919-8	202.78	120	16.09	0	0	12.33	3.28	0
1919-11	197.92	118.75	19.47	-0.5	0	9.58	3.37	0
1919-12	238.33	154.58	17.36	-0.5	0	10	3.37	0
1919-13	193.33	116.67	24.98	-0.75	0	8.25	2.66	0
1919-14	188.33	80.56	22.44	-1.33	0	13.78	3.47	0
1919-19	201.25	119.17	15.24	-1.25	0	12	2.47	0
1919-21	213.34	122.92	13.55	-1	0	11.33	3.88	0
1919-22	205.83	124.17	16.09	-1	0	10	3.55	0
1920-4	216.25	137.5	14.39	0	0	11.42	3.37	0
1920-5	215.42	110.83	15.66	-1	0	12.67	3.93	0
1920-8	206.11	107.78	14.82	-0.33	0	13.89	3.31	0
1920-9	186.25	104.17	16.51	-0.25	0	12.08	3.94	0
1920-10	178.75	85.42	20.32	-0.5	0	13.83	4.42	0
1920-11	184.17	113.33	13.12	-0.5	5.56	10.67	4.33	0
1920-12	220.83	134.17	12.28	0	0	8.5	2.81	0
1920-17	207.92	123.75	18.2	-1	0	10.42	3.63	0
1920-19	203.75	116.67	22.44	-0.75	0	14.25	3.66	0
1921-3	188.33	82.08	16.93	0	0	11.08	4.2	0
1921-4	217.08	125	23.71	-1.25	0	9.5	3.53	0
1921-5	216.25	130.42	12.7	-0.75	0	13.58	5.31	0
1921-6	195.42	114.17	17.78	-0.5	0	9.33	2.83	0
409-5	222.08	137.5	15.24	-1.25	0	13.75	3.61	0
1921-10	190	113.33	19.47	-0.25	0	10.67	4.1	0
1921-13	182.5	88.33	21.59	0.25	0	11.67	4.74	0
1921-14	203.33	103.75	21.59	-0.75	0	14.67	5.77	0
1921-17	195.42	108.75	11.85	-0.5	0	13	3.35	0
1921-18	181.67	102.08	19.47	-1	0	11.67	4.96	0
1921-19	186.67	89.58	18.2	-1.75	0	11.08	3.64	0
1921-20	190.84	115.42	8.89	0.5	0	13.5	3.24	0
409-6	173.33	90.42	14.82	-0.5	0	13	3.86	0
1922-3	180	85.42	11.43	0	29.17	11.33	4.01	0
1922-4	217.92	124.58	24.98	0	0	12.08	4.2	0
1922-6	187.22	111.67	15.66	-0.75	0	13.67	3.92	0
1922-8	204.44	120.56	14.39	-0.33	0	11.22	2.88	0
1922-9	156.67	76.67	17.36	-1	0	14.44	2.89	0
1922-10	238.75	135.42	7.62	0.5	0	8.42	3.69	0
1922-13	165.42	86.67	11.01	-1.25	18.75	9.33	2.64	0
1922-15	227.08	128.33	16.93	-0.5	0	13.83	3.99	0
1922-21	205.42	120.42	13.12	-1.25	0	13.17	3.87	0
409-7	190.83	87.08	19.05	-0.75	0	16.33	4.26	0
